                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                                 UCC -outdir ucc -dir hadoop-0.2.0                                 

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
153,23,0,0,10,11,84,105,130,CODE,hadoop-0.2.0/build/src/org/apache/hadoop/mapred/jobdetails_jsp.java
190,28,0,0,10,15,95,120,162,CODE,hadoop-0.2.0/build/src/org/apache/hadoop/mapred/jobtracker_jsp.java
110,17,0,0,10,4,64,78,93,CODE,hadoop-0.2.0/build/src/org/apache/hadoop/mapred/taskdetails_jsp.java
86,8,20,0,3,10,25,38,58,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/Environment.java
31,3,17,0,2,1,4,7,11,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/HadoopStreaming.java
210,14,21,1,5,17,94,116,175,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/JarBuilder.java
100,14,26,0,3,3,32,38,60,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/MustangFile.java
101,15,27,0,13,2,24,39,59,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/PipeMapper.java
443,49,56,2,20,42,186,248,338,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/PipeMapRed.java
87,11,21,0,13,0,25,38,55,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/PipeReducer.java
128,17,31,1,13,14,31,58,80,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/StreamBaseRecordReader.java
148,23,25,0,17,9,51,77,100,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/StreamInputFormat.java
510,59,53,4,15,47,238,300,398,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/StreamJob.java
114,17,25,2,11,8,33,52,72,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/StreamLineRecordReader.java
71,13,28,0,8,0,13,21,30,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/StreamOutputFormat.java
302,28,24,3,7,25,140,172,250,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/StreamUtil.java
108,13,21,1,11,9,32,52,74,CODE,hadoop-0.2.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/StreamXmlRecordReader.java
117,18,26,2,6,12,33,51,73,CODE,hadoop-0.2.0/src/contrib/streaming/src/test/org/apache/hadoop/streaming/TestStreaming.java
46,5,21,0,2,3,7,12,20,CODE,hadoop-0.2.0/src/examples/org/apache/hadoop/examples/ExampleDriver.java
89,21,16,3,13,0,33,46,52,CODE,hadoop-0.2.0/src/examples/org/apache/hadoop/examples/Grep.java
210,20,49,0,23,14,73,110,141,CODE,hadoop-0.2.0/src/examples/org/apache/hadoop/examples/RandomWriter.java
122,16,33,1,8,2,45,55,73,CODE,hadoop-0.2.0/src/examples/org/apache/hadoop/examples/Sort.java
144,17,45,1,15,4,42,61,82,CODE,hadoop-0.2.0/src/examples/org/apache/hadoop/examples/WordCount.java
27,4,18,0,1,1,2,4,5,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/conf/Configurable.java
520,60,105,6,14,22,232,268,355,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/conf/Configuration.java
39,7,19,0,1,1,7,9,13,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/conf/Configured.java
138,16,44,1,4,4,48,56,78,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/Block.java
120,15,27,1,3,2,55,60,78,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/BlockCommand.java
234,21,181,0,2,20,1,23,32,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/ClientProtocol.java
832,52,237,4,8,39,336,383,543,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/DataNode.java
177,19,68,1,4,5,58,67,90,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/DatanodeInfo.java
64,6,48,0,2,4,1,7,10,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/DatanodeProtocol.java
46,10,9,0,3,8,19,30,27,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/DataNodeReport.java
599,42,108,2,15,44,306,365,449,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/DFSck.java
1053,89,228,0,10,73,431,514,736,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/DFSClient.java
125,16,43,1,4,4,43,51,66,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/DFSFileInfo.java
45,5,16,0,2,0,15,17,24,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/DfsPath.java
272,23,62,0,5,13,120,138,187,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/DFSShell.java
249,45,44,0,6,4,100,110,160,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/dfs/DistributedFileSystem.java
