                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                             UCC -outdir ucc -dir apache-log4j-2.1-src/                             

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
143,18,107,0,4,9,4,17,18,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/Appender.java
46,5,29,0,1,0,6,7,12,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/BasicConfigurator.java
469,85,88,0,16,12,170,198,296,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/Category.java
20,0,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/config/package-info.java
88,8,64,0,3,0,6,9,16,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/config/PropertySetter.java
65,5,40,0,1,3,10,14,20,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/config/PropertySetterException.java
47,6,21,0,3,1,8,12,20,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/helpers/NullEnumeration.java
20,0,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/helpers/package-info.java
87,10,60,0,3,3,7,13,17,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/Layout.java
264,26,133,0,7,11,56,74,105,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/Level.java
66,12,22,0,3,1,18,22,32,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/Logger.java
223,44,53,0,9,7,54,70,126,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/LogManager.java
77,15,20,0,5,3,20,28,42,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/MDC.java
207,16,150,0,2,1,24,27,41,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/NDC.java
20,0,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/package-info.java
40,6,19,0,3,0,6,9,15,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/PatternLayout.java
239,23,136,0,1,15,34,50,80,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/Priority.java
126,14,85,0,5,0,11,16,27,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/PropertyConfigurator.java
98,11,76,0,3,6,1,10,11,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/spi/ErrorHandler.java
86,11,58,0,1,5,6,12,17,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/spi/Filter.java
33,6,20,0,3,2,1,6,7,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/spi/HierarchyEventListener.java
32,4,23,0,2,1,1,4,5,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/spi/LoggerFactory.java
109,18,66,0,6,8,8,22,25,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/spi/LoggerRepository.java
23,1,19,0,1,0,1,2,3,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/spi/LoggingEvent.java
20,0,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/spi/package-info.java
43,7,32,0,1,0,2,3,4,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/spi/RepositorySelector.java
80,18,19,0,9,0,16,25,43,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/xml/DOMConfigurator.java
20,0,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/main/java/org/apache/log4j/xml/package-info.java
69,12,19,0,8,3,15,26,38,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/test/java/org/apache/log4j/BasicConfigurationFactory.java
65,8,17,0,7,4,21,32,40,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/test/java/org/apache/log4j/CallerInformationTest.java
202,19,58,0,16,8,77,101,125,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/test/java/org/apache/log4j/CategoryTest.java
284,36,110,0,5,1,77,83,138,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/test/java/org/apache/log4j/LevelTest.java
512,80,135,0,16,10,232,258,297,CODE,apache-log4j-2.1-src//log4j-1.2-api/src/test/java/org/apache/log4j/LoggerTest.java
